Arrow,Fire,knife,towardsOpponent,awayOpponent,movementChanges,biggestTrend,concurrent_game_id,player_type,player_simulation,iteration,healthChanges,timestamp
0,2,1,52,48,1,52,1,genn,genn,10,99,2020-06-11 11:50:02.004675
1,1,1,0,100,0,147,1,genn,genn,10,19,2020-06-11 11:50:03.166811
1,1,2,0,100,0,247,1,genn,genn,10,29,2020-06-11 11:50:04.268657
2,0,1,0,100,0,347,1,genn,genn,10,9,2020-06-11 11:50:05.318821
1,1,1,0,100,0,447,1,genn,genn,10,19,2020-06-11 11:50:06.405160
1,0,3,0,100,0,547,1,genn,genn,10,29,2020-06-11 11:50:07.469596
2,1,0,0,100,0,647,1,genn,genn,10,9,2020-06-11 11:50:08.554195
0,2,1,0,100,0,747,1,genn,genn,10,19,2020-06-11 11:50:09.667953
1,2,1,0,100,0,847,1,genn,genn,10,29,2020-06-11 11:50:10.692328
2,0,1,0,100,0,947,1,genn,genn,10,9,2020-06-11 11:50:11.758194
1,2,0,0,100,0,1047,1,genn,genn,10,19,2020-06-11 11:50:12.859487
1,1,2,0,100,0,1147,1,genn,genn,10,29,2020-06-11 11:50:13.951403
1,0,2,0,100,0,1247,1,genn,genn,10,9,2020-06-11 11:50:15.040523
1,1,1,0,100,0,1347,1,genn,genn,10,19,2020-06-11 11:50:16.114133
0,3,1,0,100,0,1447,1,genn,genn,10,29,2020-06-11 11:50:17.198271
1,1,1,0,100,0,1547,1,genn,genn,10,9,2020-06-11 11:50:18.388975
1,1,1,0,100,0,1647,1,genn,genn,10,19,2020-06-11 11:50:19.368617
0,3,1,0,100,0,1747,1,genn,genn,10,29,2020-06-11 11:50:20.369105
1,0,2,0,100,0,1847,1,genn,genn,10,9,2020-06-11 11:50:21.366238
1,2,0,0,100,0,1947,1,genn,genn,10,19,2020-06-11 11:50:22.378660
2,1,1,0,100,0,2047,1,genn,genn,10,29,2020-06-11 11:50:23.413904
0,2,1,0,100,0,2147,1,genn,genn,10,9,2020-06-11 11:50:24.460123
0,3,0,0,100,0,2247,1,genn,genn,10,19,2020-06-11 11:50:25.452816
1,3,0,0,100,0,2347,1,genn,genn,10,29,2020-06-11 11:50:26.496100
2,0,1,0,90,0,2437,1,genn,genn,10,29,2020-06-11 11:50:27.445752
